london_company_id,company_name,secretary,office,london_address_cleaned
allutarubberandproducecompany_limited_rubberestateagency_59_eastcheap_e_c_,"Alluta Rubber and Produce Company, Limited",Rubber Estate Agency,"59, Eastcheap, E.C.","59, Eastcheap, E.C."
allutarubberandproducecompany_rowley_daviesandco__59_eastcheap_e_c_,Alluta Rubber and Produce Company,"Rowley, Davies and Co.","59, Eastcheap, E.C.","59, Eastcheap, E.C."
allutarubberandproducecompany_rubberestateagency_59_eastcheap_e_c_,Alluta Rubber and Produce Company,Rubber Estate Agency,"59, Eastcheap, E.C.","59, Eastcheap, E.C."
allutarubberandproducecompany_rubberestateagency_59_eastcheap_e_c_s,Alluta Rubber and Produce Company,Rubber Estate Agency,"59, Eastcheap, E.C.S","59, Eastcheap, E.C."
allutarubberandproducecompany_rubberestateagency_59_eastcheap_ec,Alluta Rubber and Produce Company,Rubber Estate Agency,"59, Eastcheap, EC","59, Eastcheap, E.C."
allutarubberandproducecompany_rubberestateagency_mincinglanehouse_59_eastcheap_e_c_,Alluta Rubber and Produce Company,Rubber Estate Agency,"Mincing Lane House,59, Eastcheap, E.C.","Mincing Lane House, 59, Eastcheap, E.C."
allyniggerteacompany_walterduncanandco__101_leadenhallstreet_e_c_,Allynigger Tea Company,Walter Duncan and Co.,"101, Leadenhall Street, E.C.","101, Leadenhall Street, E.C."
allynuggerteacompany_walterduncanandco_149_leadenhallstreet_e_c_,Allynugger Tea Company,Walter Duncan and Co,"149, Leadenhall Street, E.C.","149, Leadenhall Street, E.C."
allynuggerteacompany_walterduncanandco__149_leadenhallstreet_e_c_,Allynugger Tea Company,Walter Duncan and Co.,"149, Leadenhall Street, E.C.","149, Leadenhall Street, E.C."
alorpongsrubberestate_r_l_spicer_3_4_greatwinchesterstreet_e_c_,Alor Pongs Rubber Estate,R. L. Spicer,"3-4, Great Winchester Street, E.C.","3-4, Great Winchester Street, E.C."
alorpongsurubberestate_limited_r_l_spicer_34_greatwinchesterstreet_e_c_,"Alor Pongsu Rubber Estate, Limited",R. L. Spicer,"34, Great Winchester Street, E.C.","34, Great Winchester Street, E.C."
alorpongsurubberestate_r_l_spicer_3_4_greatwinchesterstreet_e_c_,Alor Pongsu Rubber Estate,R. L. Spicer,"3-4, Great Winchester Street, E.C.","3-4, Great Winchester Street, E.C."
alorpongsurubberestate_r_l_spicer_3_4_greatwinchesterstreet_ec,Alor Pongsu Rubber Estate,R. L. Spicer,"3-4, Great Winchester Street, EC","3-4, Great Winchester Street, E.C."
alorpongsurubberestate_r_lawrencespicer_3_4_greatwinchesterstreet_e_c_,Alor Pongsu Rubber Estate,R. Lawrence Spicer,"3-4, Great Winchester Street, E.C.","3-4, Great Winchester Street, E.C."
alorpongsurubberestate_r_lawrencespicerandco__3_4_greatwinchesterstreet_e_c_,Alor Pongsu Rubber Estate,R. Lawrence Spicer and Co.,"3-4, Great Winchester Street, E.C.","3-4, Great Winchester Street, E.C."
alvesbragarubberestatesandtradingcompany_limited_n_a_g_10_11_exchangebuildings_liverpool,"Alves Braga Rubber Estates and Trading Company, Limited",N/A,"G. 10-11, Exchange Buildings, Liverpool","10-11, Exchange Buildings, Liverpool"
amalgamatedrubberestates_lesliegalloway_9_11_fenchurchavenue_e_c_,Amalgamated Rubber Estates,Leslie Galloway,"9-11, Fenchurch Avenue, E.C.","9-11, Fenchurch Avenue, E.C."
amalgamatedrubberestates_s_w_r_mplin_7_8_greatwinchesterstreet_e_c_,Amalgamated Rubber Estates,S. W. R. Mplin,"7-8, Great Winchester Street, E.C.","7-8, Great Winchester Street, E.C."
amalgamatedteaestates_jamesfinlayandco__22_westnilestreet_glasgow,Amalgamated Tea Estates,James Finlay and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
amalgamatedteaestatescompany_jamesfinlayandco__22_westnilestreet_glasgow,Amalgamated Tea Estates Company,James Finlay and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
amalgamatedteaestatescompany_jamesfinlayandco__limited_22_westnilestreet_glasgow,Amalgamated Tea Estates Company,"James Finlay and Co., Limited","22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
amalgamatedteaestatescompany_jamesfinlyandco__22_westnilestreet_glasgow,Amalgamated Tea Estates Company,James Finly and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
amalgamatedteaestatescompany_limited__jamesfinlayandco__22_westnilestreet_glasgow,"Amalgamated Tea Estates Company, Limited.",James Finlay and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
amalgamatedteaestatescompany_limited_jamesfinlayandco__22_westnilestreet_glasgow,"Amalgamated Tea Estates Company, Limited",James Finlay and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
amatongalandrubbercorporation_j_s_dare_liquidator__446_salisburyhouse_e_c_,Amatongaland Rubber Corporation,J. S. Dare (Liquidator),"446, Salisbury House, E.C.","446, Salisbury House, E.C."
amherstestates_selangor__kennay_neameandco__pinnershall_austinfriars_e_c_,Amherst Estates (Selangor),"Kennay, Neame and Co.","Pinners Hall, Austin Friars, E.C.","Pinners Hall, Austin Friars, E.C."
amherstestates_selangor_rubber_kennaway_neameandco__6_lloydsavenue_e_c_,Amherst Estates (Selangor) Rubber,"Kennaway, Neame and Co.","6, Lloyds Avenue, E.C.","6, Lloyds Avenue, E.C."
amherstestates_selangor_rubbercompany_kennaway_neameandco__6_lloydsavenue_e_c_,Amherst Estates (Selangor) Rubber Company,"Kennaway, Neame and Co.","6, Lloyds Avenue, E.C.","6, Lloyds Avenue, E.C."
amherstestates_selangor_rubbercompany_kennaway_neameandco__pinnershall_austinfriars_e_c_,Amherst Estates (Selangor) Rubber Company,"Kennaway, Neame and Co.","Pinners Hall, Austin Friars, E.C.","Pinners Hall, Austin Friars, E.C."
amherstestatesselangorrubber_kennaway_neameandco__pinnershall_austinfriars_e_c_,Amherst Estates Selangor Rubber,"Kennaway, Neame and Co.","Pinners Hall, Austin Friars, E.C.","Pinners Hall, Austin Friars, E.C."
ampat_sumatra_rubberestate_guthrieandco__5_whittingtonavenue_e_c_,Ampat (Sumatra) Rubber Estate,Guthrie and Co.,"5, Whittington Avenue, E.C.","5, Whittington Avenue, E.C."
ampat_sumatrarubberestate__guthrieandco__5_whittingtonavenue_e_c_,Ampat (Sumatra Rubber Estate),Guthrie and Co.,"5, Whittington Avenue, E.C.","5, Whittington Avenue, E.C."
ampatsumatrarubberestate_guthrieandco__5_whittingtonavenue_e_c_,Ampat Sumatra Rubber Estate,Guthrie and Co.,"5, Whittington Avenue, E.C.","5, Whittington Avenue, E.C."
amsterdamrubbercompany_n_a_n_a,Amsterdam Rubber Company,N/A,N/A,""
anamalaicoffeecompany_e_s_g_malin_15_greatst_helen_s_e_c_,Anamalai Coffee Company,E. S. G. Malin,"15, Great St. Helen's, E.C.","15, Great St. Helen's, E.C."
anamalaicoffeecompany_e_s_g_malins_15_greatst_helen_s_e_c_,Anamalai Coffee Company,E. S. G. Malins,"15, Great St. Helen's, E.C.","15, Great St. Helen's, E.C."
anamalaicoffeecompany_e_s_g_malins_f_c_i_s_15_greatst_helens_e_c_,Anamalai Coffee Company,"E. S. G. Malins, F.C.I.S","15, Great St. Helens, E.C.","15, Great St. Helen's, E.C."
anamalaicoffeecompany_e_s_g_malins_f_c_i_s__15_greatst_helen_s_e_c_,Anamalai Coffee Company,"E. S. G. Malins, F.C.I.S.","15, Great St. Helen's, E.C.","15, Great St. Helen's, E.C."
anamalaicoffeecompany_limited_e_s_g_malins_15_greatst_helens_e_c_,"Anamalai Coffee Company, Limited",E. S. G. Malins,"15, Great St. Helens, E.C.","15, Great St. Helen's, E.C."
anamalalcoffeecompany_e_s_g_malins_f_c_i_s__15_greatst_helens_e_c_,Anamalal Coffee Company,"E. S. G. Malins, F.C.I.S.","15, Great St. Helens, E.C.","15, Great St. Helen's, E.C."
anglo_americandirectteatrading_jamesfinlayandco__22_westnilestreet_glasgow,Anglo-American Direct Tea Trading,James Finlay and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
anglo_americandirectteatradingcompany_limited_jamesfinlayandco__22_westnilestreet_glasgow,"Anglo-American Direct Tea Trading Company, Limited",James Finlay and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
anglo_ceylonandgeneralestatesco__h_gree_20_eastcheap_e_c_,Anglo-Ceylon and General Estates Co.,H. Gree,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglo_ceylonandgeneralestatescompany_h_gree_20_eastcheap_e_c_,Anglo-Ceylon and General Estates Company,H. Gree,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglo_ceylonandgeneralestatescompany_h_greey_20_eastcheap_e_c_,Anglo-Ceylon and General Estates Company,H. Greey,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglo_ceylonandgeneralestatescompany_limited_h_greey_20_eastcheap_e_c_,"Anglo-Ceylon and General Estates Company, Limited",H. Greey,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglo_dutchplantationsofjava_francispeekandco__20_eastcheap_e_c_,Anglo-Dutch Plantations of Java,Francis Peek and Co.,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglo_dutchplantationsofjava_peekbros_andwinch_20_eastcheap_e_c_,Anglo-Dutch Plantations of Java,Peek Bros. and Winch,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglo_dutchplantationsofjava_peekbrosandwinch_20_eastcheap_e_c_,Anglo-Dutch Plantations of Java,Peek Bros and Winch,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglo_dutchplantationsofjava_peekbrothersandwinch_20_eastcheap_e_c_,Anglo-Dutch Plantations of Java,Peek Brothers and Winch,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglo_javarubberandproducecompany_linterandco__65_londonwall_e_c_,Anglo-Java Rubber and Produce Company,Linter and Co.,"65, London Wall, E.C.","65, London Wall, E.C."
anglo_johorerubberestates_h_gunter_42_5_newbroadstreet_e_c_,Anglo-Johore Rubber Estates,H. Gunter,"42-5, New Broad Street, E.C.","42-45, New Broad Street, E.C."
anglo_johorerubberestates_limited_h_gunter_42_5_newbroadstreet_e_c_,"Anglo-Johore Rubber Estates, Limited",H. Gunter,"42-5, New Broad Street, E.C.","42-45, New Broad Street, E.C."
anglo_malayrubbercompany_h_e_muller_11_idollane_e_c_,Anglo-Malay Rubber Company,H. E. Muller,"11, Idol Lane, E.C.","11, Idol Lane, E.C."
anglo_malayrubbercompany_harrisonsandcrosfield_1_4_greattowerstreet_e_c_,Anglo-Malay Rubber Company,Harrisons and Crosfield,"1-4, Great Tower Street, E.C.","1-4, Great Tower Street, E.C."
anglo_malayrubbercompany_harrisonsandcrosfield_49_51_eastcheap_e_c_,Anglo-Malay Rubber Company,Harrisons and Crosfield,"49-51, Eastcheap, E.C.","49-51, Eastcheap, E.C."
anglo_malayrubbercompany_limited_harrisonsandcrosfield_11_idollane_e_c_,"Anglo-Malay Rubber Company, Limited",Harrisons and Crosfield,"11, Idol Lane, E.C.","11, Idol Lane, E.C."
anglo_sumatrarubbercompany_blaikieandboyd_23_thistlestreet_edinburgh,Anglo-Sumatra Rubber Company,Blaikie and Boyd,"23, Thistle Street, Edinburgh","23, Thistle Street, Edinburgh"
anglo_sumatrarubbercompany_brewis_rainieandboyd_6_darnawaystreet_edinburgh,Anglo-Sumatra Rubber Company,"Brewis, Rainie and Boyd","6, Darnaway Street, Edinburgh","6, Darnaway Street, Edinburgh"
anglo_sumatrarubbercompany_limited_brewis_rainieandboyd_6_darawaystreet_edinburgh,"Anglo-Sumatra Rubber Company, Limited","Brewis, Rainie and Boyd","6, Daraway Street, Edinburgh","6, Darnaway Street, Edinburgh"
angloamericandirectteatradingco__jamesfinlayandco__22_westnilestreet_glasgow,Anglo American Direct Tea Trading Co.,James Finlay and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
angloamericandirectteatradingcompany_jamesfinlayandco__22_westnilestreet_glasgow,Anglo American Direct Tea Trading Company,James Finlay and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
angloamericandirectteatradingcompany_jamesfinlyandco__22_westnilestreet_glasgow,Anglo American Direct Tea Trading Company,James Finly and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
angloamericandirectteatradingcorporation_jamesfinlyandco__22_westnilestreet_glasgow,Anglo American Direct Tea Trading Corporation,James Finly and Co.,"22, West Nile Street, Glasgow","22, West Nile Street, Glasgow"
anglobolivianrubberandtradingcompany_s_a_lancaster_87_bishopsgate_e_c_,Anglo Bolivian Rubber and Trading Company,S. A. Lancaster,"87, Bishopsgate, E.C.","87, Bishopsgate, E.C."
anglobolivianrubberestates_gaff_harper_co__54_newbroadstreet_e_c_,Anglo Bolivian Rubber Estates,"Gaff, Harper & Co.","54, New Broad Street, E.C.","54, New Broad Street, E.C."
anglobolivianrubberestates_gaff_harperandco__54_newbroadstreet_e_c_,Anglo Bolivian Rubber Estates,"Gaff, Harper and Co.","54, New Broad Street, E.C.","54, New Broad Street, E.C."
anglobolivianrubberestates_gaffandco__54_newbroadstreet_e_c_,Anglo Bolivian Rubber Estates,Gaff and Co.,"54, New Broad Street, E.C.","54, New Broad Street, E.C."
anglobolivianrubberestates_gaffandco__54_newbroadstreet_e_c_b,Anglo Bolivian Rubber Estates,Gaff and Co.,"54, New Broad Street, E.C.B","54, New Broad Street, E.C."
anglobolivianrubberestates_n_a_n_a,Anglo Bolivian Rubber Estates,N/A,N/A,""
angloceylonandgeneralestates_h_j_hitchcock_20_eastcheap_e_c_,Anglo Ceylon and General Estates,H. J. Hitchcock,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
angloceylonandgeneralestatescompany_h_greey_20_eastcheap_e_c_,Anglo Ceylon and General Estates Company,H. Greey,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
angloceylonandgeneralestatescompany_h_j_hitchcock_20_eastcheap_e_c_,Anglo Ceylon and General Estates Company,H. J. Hitchcock,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglodutchplantationsofjava_francispeekandco__20_eastcheap_e_c_,Anglo Dutch Plantations of Java,Francis Peek and Co.,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
anglodutchplantationsofjava_francispeekandco__5_7_eastcheap_e_c_,Anglo Dutch Plantations of Java,Francis Peek and Co.,"5-7, Eastcheap, E.C.","5-7, Eastcheap, E.C."
anglodutchplantationsofjay_francispeekandco__20_eastcheap_e_c_,Anglo Dutch Plantations of Jay,Francis Peek and Co.,"20, Eastcheap, E.C.","20, Eastcheap, E.C."
angloeastafricanrubberplantations_bousteadbrothers_5_fenchurchstreet_e_c_,Anglo East African Rubber Plantations,Boustead Brothers,"5, Fenchurch Street, E.C.","5, Fenchurch Street, E.C."
angloeastafricanrubberplantations_n_a_5_fenchurchstreete_c_,Anglo East African Rubber Plantations,N/A,"5, Fenchurch Street E.C.","5, Fenchurch Street, E.C."
anglojavarubberandproduceco__linterandco__18_leadenhallstreet_e_c_,Anglo Java Rubber and Produce Co.,Linter and Co.,"18, Leadenhall Street, E.C.","18, Leadenhall Street, E.C."
anglojavarubberandproducecompany_a_h_doherty_65_londonwall_e_c_,Anglo Java Rubber and Produce Company,A. H. Doherty,"65, London Wall, E.C.","65, London Wall, E.C."
anglojavarubberandproducecompany_linterandco__18_leadenhallstreet_e_c_,Anglo Java Rubber and Produce Company,Linter and Co.,"18, Leadenhall Street, E.C.","18, Leadenhall Street, E.C."
anglojavarubberandproducecompany_linterandco__54_newbroadstreet_e_c_,Anglo Java Rubber and Produce Company,Linter and Co.,"54, New Broad Street, E.C.","54, New Broad Street, E.C."
anglojavarubberandproducecompany_linterandcompany_18_leadenhallstreet_e_c_,Anglo Java Rubber and Produce Company,Linter and Company,"18, Leadenhall Street, E.C.","18, Leadenhall Street, E.C."
anglojavarubberandproducecompany_lintnerandco__18_leadenhallstreet_e_c_,Anglo Java Rubber and Produce Company,Lintner and Co.,"18, Leadenhall Street, E.C.","18, Leadenhall Street, E.C."
anglojavarubberandproducecompany_lintnerandco__limited_18_leadenhallstreet_e_c_,Anglo Java Rubber and Produce Company,"Lintner and Co., Limited","18, Leadenhall Street, E.C.","18, Leadenhall Street, E.C."
anglojohoreconsolidatedrubberestates_h_gunter_42_5_newbroadstreet_e_c_,Anglo Johore Consolidated Rubber Estates,H. Gunter,"42-5, New Broad Street, E.C.","42-45, New Broad Street, E.C."
anglojohorerubberestates_h_gunter_42_45_newbroadstreet_e_c_,Anglo Johore Rubber Estates,H. Gunter,"42-45, New Broad Street, E.C.","42-45, New Broad Street, E.C."
anglojohorerubberestates_h_gunter_42_5_newbroadstreet_e_c_,Anglo Johore Rubber Estates,H. Gunter,"42-5, New Broad Street, E.C.","42-45, New Broad Street, E.C."
anglojohorerubberestates_h_gunter_orienthouse_42_5_newbroadstreet_e_c_,Anglo Johore Rubber Estates,H. Gunter,"Orient House, 42-5, New Broad Street, E.C.","Orient House, 42-45, New Broad Street, E.C."
anglojohorerubberestates_n_a_n_a,Anglo Johore Rubber Estates,N/A,N/A,""
anglomalayrubbercompany_harrisonsandcrosfied_1_4_greattowerstreet_e_c_,Anglo Malay Rubber Company,Harrisons and Crosfied,"1-4, Great Tower Street, E.C.","1-4, Great Tower Street, E.C."
anglomalayrubbercompany_harrisonsandcrosfield_11_idollane_e_c_,Anglo Malay Rubber Company,Harrisons and Crosfield,"11, Idol Lane, E.C.","11, Idol Lane, E.C."
anglomalayrubbercompany_harrisonsandcrosfield_1_4_greattowerst_e_c_,Anglo Malay Rubber Company,Harrisons and Crosfield,"1-4, Great Tower St, E.C.","1-4, Great Tower Street, E.C."
anglomalayrubbercompany_harrisonsandcrosfield_1_4_greattowerstreet_e_c_,Anglo Malay Rubber Company,Harrisons and Crosfield,"1-4, Great Tower Street, E.C.","1-4, Great Tower Street, E.C."
anglomalayrubbercompany_harrisonsandcrosfield_49_51_eastcheap_e_c_,Anglo Malay Rubber Company,Harrisons and Crosfield,"49-51, Eastcheap, E.C.","49-51, Eastcheap, E.C."
anglomalayrubbercompany_limited_h_e_muller_11_idollane_e_c_,"Anglo Malay Rubber Company, Limited",H. E. Muller,"11, Idol Lane, E.C.","11, Idol Lane, E.C."
anglomalayrubbercompany_limited_harrisonsandcrosfield_49_51_eastcheap_e_c_,"Anglo Malay Rubber Company, Limited",Harrisons and Crosfield,"49-51, Eastcheap, E.C.","49-51, Eastcheap, E.C."
